user_id,organization_id,email,name,role,profile_photo_url,created_at,is_active,state
9830b3bb-e8ce-4da7-9a2c-3b3496c1c47c,531,mahalingam.allam@doordash.com,Mahalingam Allam,admin,,2020-10-27 00:00:00,True,Andhra Pradesh
84e7cbb9-67cc-451c-9939-aa67f756db50,531,sumithra.ganjam@doordash.com,Sumithra Ganjam,admin,,2020-10-22 00:00:00,True,Andhra Pradesh
c3702072-211a-4851-96cd-4ddba39281fe,531,harihara.dunna@doordash.com,Harihara Dunna,limited_access,,2020-09-02 00:00:00,True,Andhra Pradesh
9b606ab9-841d-4539-a836-5ab11c14943a,531,reshmi.peethala@doordash.com,Reshmi Peethala,admin,,2020-06-30 00:00:00,True,Andhra Pradesh
defdfac3-280b-46cd-a9ad-0296fe778355,531,krishnaiah.nori@doordash.com,Krishnaiah Nori,guest,,2020-07-19 00:00:00,True,Andhra Pradesh
ce21b246-9023-456f-9ed6-f6dea584f600,531,sumithra.somisetty@doordash.com,Sumithra Somisetty,limited_access,,2020-10-03 00:00:00,True,Andhra Pradesh
fdb18690-49fd-4205-9642-dbd837be4921,531,kalyan.mopidevi@doordash.com,Kalyan Mopidevi,member,,2020-09-07 00:00:00,True,Andhra Pradesh
d7fa0c64-3313-4657-b25f-a5562a84c71d,531,krishnaveni.annam@doordash.com,Krishnaveni Annam,member,,2020-05-20 00:00:00,True,Andhra Pradesh
86bbf5d1-c1e4-4fee-bc4b-0080cbc9fdea,531,balaram.bhajana@doordash.com,Balaram Bhajana,limited_access,,2020-09-06 00:00:00,True,Andhra Pradesh
c31e6622-50c9-4eab-bd2b-e0e43cf5991d,531,rajeswari.edulakanti@doordash.com,Rajeswari Edulakanti,admin,,2020-07-19 00:00:00,True,Andhra Pradesh
0466d4fa-b2b0-4841-8676-5be9fc795e9b,531,bhujangaiah.mudunuri@doordash.com,Bhujangaiah Mudunuri,guest,,2020-12-09 00:00:00,True,Andhra Pradesh
370940e8-113f-4e76-9c60-4dad57ee8a5d,531,dayanidhi.manyam@doordash.com,Dayanidhi Manyam,limited_access,,2020-03-26 00:00:00,True,Andhra Pradesh
60412557-c0c7-46c7-98e8-eb95e00a2d94,531,sundar.parvataneni@doordash.com,Sundar Parvataneni,limited_access,,2020-03-07 00:00:00,True,Andhra Pradesh
a1ff73ae-2537-4891-b603-ce01bbf80bfb,531,ambuja.panthulu@doordash.com,Ambuja Panthulu,admin,,2020-07-21 00:00:00,True,Andhra Pradesh
d71354f3-09da-4c34-a7fc-754d29d35d22,531,govindaiah.duggirala@doordash.com,Govindaiah Duggirala,admin,,2020-02-13 00:00:00,True,Andhra Pradesh
18f15b64-3450-4cb6-a4b1-c24ba0f3c835,531,pallavi.mogali@doordash.com,Pallavi Mogali,limited_access,,2020-03-11 00:00:00,True,Andhra Pradesh
790e90a4-5e90-4e8b-bacc-2c5ff7957cc9,531,yaswanth.ramesetti@doordash.com,Yaswanth Ramesetti,limited_access,,2020-04-04 00:00:00,True,Andhra Pradesh
